slo_violation_pct,cvar95_ms,p95_ms,p99_ms,mean_latency_ms,seed,policy,replica_seconds,scaling_actions,scenario,cpu_utilization_factor
3.1363168724279835,678.4531788958375,282.5924821044791,884.1822253645826,102.07513628916213,113,keda_style,2434.0,46,cpu_factor_0.40,0.4
0.07613168724279835,235.00768848077502,148.16902481449102,302.7625132825544,67.99041176578247,114,cvar_safe,3384.0,65,cpu_factor_0.40,0.4
0.8636831275720165,379.7900861114564,210.9494176251752,469.71443123596237,83.12495193548295,114,hpa_like,2400.0,34,cpu_factor_0.40,0.4
1.7906378600823045,472.0107884253374,278.9546975925961,623.4572129097073,90.65845338333912,114,keda_style,2384.0,46,cpu_factor_0.40,0.4
0.21296296296296297,276.2832104353268,167.11072824019476,355.67494009967265,71.86119968648508,115,cvar_safe,3636.0,82,cpu_factor_0.40,0.4
4.458847736625515,708.6395751726051,449.3908427740234,841.6971417960387,106.33528789201966,115,hpa_like,2570.0,56,cpu_factor_0.40,0.4
4.383230452674898,706.4813517325595,438.0159911737605,841.6971417960387,105.11203721929658,115,keda_style,2521.0,54,cpu_factor_0.40,0.4
0.006687242798353909,186.8770120826986,139.9094432124989,216.1741753587004,64.952298374481,101,cvar_safe,3872.0,44,cpu_factor_0.50,0.5
0.9305555555555555,365.8672158986284,192.2235091387563,492.1731577044103,79.21645754475492,101,hpa_like,2590.0,35,cpu_factor_0.50,0.5
1.6795267489711934,462.764559870732,290.8424540433791,568.0735227689574,90.19166029616106,101,keda_style,2467.0,50,cpu_factor_0.50,0.5
0.10648148148148148,245.30114439794394,147.97958605286235,335.62812131592847,68.44786948728039,102,cvar_safe,4114.0,55,cpu_factor_0.50,0.5
1.4753086419753088,449.9694363840327,236.83229709259416,591.6007031786847,86.08949939938232,102,hpa_like,2667.0,53,cpu_factor_0.50,0.5
2.4917695473251027,554.8188160499992,342.7440203037063,711.8098861492003,99.4972114778541,102,keda_style,2500.0,56,cpu_factor_0.50,0.5
0.00205761316872428,171.24895386669834,132.17829339924918,194.10876818773085,63.246609027612294,103,cvar_safe,3697.0,31,cpu_factor_0.50,0.5
1.4382716049382718,391.27307156815004,188.7664701194777,600.7464505733172,80.99456933424717,103,hpa_like,2548.0,41,cpu_factor_0.50,0.5
3.902263374485597,640.7206587332649,343.3806459220576,784.650996833198,100.02586356823568,103,keda_style,2439.0,50,cpu_factor_0.50,0.5
0.09979423868312758,259.24712071013664,154.56194463442228,354.8214308543367,69.74112765544376,104,cvar_safe,3883.0,65,cpu_factor_0.50,0.5
4.356481481481481,724.6545475049858,453.46377636379617,870.8019745358641,107.21727190250562,104,hpa_like,2662.0,62,cpu_factor_0.50,0.5
4.247427983539095,660.9610317846151,446.77397025532235,764.1005199338625,105.23902854297344,104,keda_style,2535.0,58,cpu_factor_0.50,0.5
0.8724279835390947,303.3091236557112,155.8121784661694,473.2641039515071,72.22350994967603,105,cvar_safe,3870.0,58,cpu_factor_0.50,0.5
2.384259259259259,512.1878227464584,270.2823339648525,624.6191758911045,89.61285247252817,105,hpa_like,2715.0,52,cpu_factor_0.50,0.5
2.537551440329218,528.6435381850034,323.1038252861709,627.9944254495292,95.20805438416915,105,keda_style,2526.0,52,cpu_factor_0.50,0.5
0.00205761316872428,171.7430475481294,132.1185204151499,194.9713793709511,63.32550506031715,106,cvar_safe,3533.0,27,cpu_factor_0.50,0.5
1.1990740740740742,412.7649021304585,181.13685141810774,536.3056872479625,81.90287841065602,106,hpa_like,2514.0,36,cpu_factor_0.50,0.5
1.212448559670782,429.7499124087777,205.04558143964184,537.314940748066,86.00394470329057,106,keda_style,2384.0,34,cpu_factor_0.50,0.5
0.647119341563786,289.58719290087515,156.65093309838582,391.0185351956303,71.5290394874686,107,cvar_safe,3961.0,58,cpu_factor_0.50,0.5
2.8266460905349797,551.7894876394258,276.00521985922063,687.5049800876568,93.76636669434096,107,hpa_like,2488.0,47,cpu_factor_0.50,0.5
3.4212962962962967,612.1629370981183,332.3431496868321,745.526908280399,99.62076655753906,107,keda_style,2415.0,49,cpu_factor_0.50,0.5
0.00205761316872428,172.35997296575755,133.0335475721107,195.11228908824532,63.49127757229699,108,cvar_safe,3552.0,21,cpu_factor_0.50,0.5
0.7407407407407408,328.1772014653062,171.41952629037016,450.4186976838294,77.03913371088083,108,hpa_like,2464.0,31,cpu_factor_0.50,0.5
1.573045267489712,437.9548830119714,192.90457142424856,597.7602283103101,85.44170443715127,108,keda_style,2314.0,30,cpu_factor_0.50,0.5
0.013888888888888888,200.0430753692036,142.70928309101933,233.61799795506016,66.00660652373121,109,cvar_safe,4043.0,46,cpu_factor_0.50,0.5
1.3395061728395061,443.86761570643284,198.70653574955548,693.995360429686,83.80724699083898,109,hpa_like,2703.0,41,cpu_factor_0.50,0.5
3.5185185185185186,776.5729516227866,331.9122812163851,1034.4723937408628,111.75735725909463,109,keda_style,2492.0,56,cpu_factor_0.50,0.5
1.492283950617284,403.9329679687134,178.49948066052238,584.2516225621313,78.59090324227347,110,cvar_safe,4252.0,76,cpu_factor_0.50,0.5
2.7685185185185186,547.7618986251979,305.7767415305518,693.7441310989838,92.59306457789998,110,hpa_like,2631.0,52,cpu_factor_0.50,0.5
2.991769547325103,566.2269470389723,345.04115563943174,695.7570348041162,97.81959137449724,110,keda_style,2470.0,54,cpu_factor_0.50,0.5
0.04681069958847737,222.95224598301397,145.70885913594068,276.88029466279073,67.2271623716697,111,cvar_safe,3746.0,49,cpu_factor_0.50,0.5
1.521090534979424,427.3500623247592,214.2213751076033,548.0641909409445,84.45431504072423,111,hpa_like,2590.0,46,cpu_factor_0.50,0.5
2.695473251028807,634.3741924847308,313.7666312800874,906.8704317783304,100.33531137407022,111,keda_style,2468.0,49,cpu_factor_0.50,0.5
1.1589506172839505,391.4705618369675,167.00794698739205,581.7222070331014,77.46847572851158,112,cvar_safe,4052.0,67,cpu_factor_0.50,0.5
3.343621399176955,771.6023107014349,372.2823440784258,1067.205787325733,108.01952421842178,112,hpa_like,2540.0,53,cpu_factor_0.50,0.5
3.350308641975309,772.2229822601296,375.53372807554655,1067.205787325733,110.6217346433347,112,keda_style,2427.0,51,cpu_factor_0.50,0.5
0.7067901234567902,318.1465413465151,162.14485848494675,398.3616517420821,73.16866640598067,113,cvar_safe,3920.0,65,cpu_factor_0.50,0.5
3.1219135802469133,670.6179458795351,245.27278735009344,884.1822253645826,98.78088225465395,113,hpa_like,2497.0,44,cpu_factor_0.50,0.5
3.133230452674897,677.0282866877636,275.31556945926854,884.1822253645826,101.25092640719667,113,keda_style,2448.0,44,cpu_factor_0.50,0.5
0.07561728395061729,231.70174494380367,145.77000525180713,301.0966173431125,67.5035623814692,114,cvar_safe,3820.0,40,cpu_factor_0.50,0.5
0.7829218106995885,329.94976902420706,168.4314081583639,450.982957566844,76.23266190544122,114,hpa_like,2511.0,27,cpu_factor_0.50,0.5
1.852366255144033,476.65024556817195,229.21904947190438,680.0018544683792,89.03108108260201,114,keda_style,2381.0,38,cpu_factor_0.50,0.5
0.02160493827160494,214.3842952438263,148.9088561564593,260.6930705081318,67.24624180062006,115,cvar_safe,3858.0,53,cpu_factor_0.50,0.5
1.1358024691358024,417.88171929463545,219.6000537299644,524.3704616170146,83.69101926222305,115,hpa_like,2659.0,49,cpu_factor_0.50,0.5
4.382716049382716,706.4288328988819,437.20612644011993,841.6971417960387,104.82566132621317,115,keda_style,2537.0,54,cpu_factor_0.50,0.5
0.006687242798353909,170.42303673528858,130.99644050669437,193.0390792817286,63.02823912823575,101,cvar_safe,4883.0,18,cpu_factor_0.70,0.7
0.4166666666666667,267.7419002606428,154.93846579013987,359.73368589267255,70.35054137851309,101,hpa_like,3327.0,39,cpu_factor_0.70,0.7
1.6697530864197532,455.80131249671723,249.3682299015499,567.8511459439012,86.41953775904958,101,keda_style,2557.0,40,cpu_factor_0.70,0.7
0.00308641975308642,171.7765342880673,132.15048982958564,195.34318689989655,63.30752995181481,102,cvar_safe,5163.0,23,cpu_factor_0.70,0.7
